username,komentar
@cakudin,Yg paling menguntungkan setelah jembatan di bongkar .. sangat menguntungkan bagi para tukang bangunan...banyak diluar sana yg menganggur ...
@gegerrebel1808,"Dijajal ng kuping mu bos!!! Ngono og bangga,,,"
@rasyidmuhamad6196,Dengan bangganya
@hari8187,Kalo ada genteng rontok kaca pecah tembok retak yes warga tambah seneng
@Gegebening,"Miris. Kasian asli, gini amat hiburan orang kabupaten. 

Daripada nyinyir, Kalian tuh mikir sebenarnya kenapa hal kaya gini bisa terjadi. pemerintah setempat ga peduli, polisi bisa ngawal, bahkan mereka ga peduli orang lain bahkan rumah/kaca orang lain sampai pecah. Even pasti ada beberapa orang yg sebenanrya terganggu tapi mereka mungkin takut diamuk massa/bingung mau lapor kemana karena didukung pemerintah setempat.

Mau dikritisi tapi takut kena ITE, awikwok "
@questwanderer1955,"Kenapa fenomena meresahkan ini nggak ditindak? Karena semua pihak yang punya kuasa sudah kongkalikong:
Pengusaha sound
Polsek
Pemerintah Desa
Dinas Kebudayaan

Semua kecipratan cuan
Warga yang tidak berdaya cuma bisa mengutuk dan menanggung semua kerugian. Kalau sudah begini mau ngadu ke siapa lagi?"
@satriatama4038,Itu yg ngak terima silahkan hubungi ya
@bsggank,Menit. (14:55 - 15:28 )Josss kata kata e umak Mas kholid Malang losss 
@pamujioprt3700,Mantap mase penjelasane tetap jayalah BP audio dan seluruh sund horeg jatim dan aeromax
@lizardman5109,"Tolong para pendukung horeg tanggapannya mengenai berita tentang ada bayi yang meninggal akibat sound horeg, kan katanya udah lewat perizinan yang jelas tapi kok bisa ada korban? Katanya udah diungsikan? Kok bisa? Katanya mereka sendiri yang nyewa, apa ada orang tua yang senang anaknya mati? Apa orang tuanya setuju dengan adanya karnaval itu?"
@ryannurrachim3040,"Yakin pengusaha sound horeg sebagai sdm rendah? Masa sdm rendah bisa punya 3 unit sound yang harga satunya 3,9m  coba yang merasa sdm tinggi intropeksi lagi sebelum menghujat "
@massumarji8026,"malang hadir sam, hiburan desa masuk kota, yang bilang sdm rendah pasti gak mampu nyewa sound horeg"
@lastisurga1998,"Operator BP Audio 
Muhammad Kolid Mashudi"
@mbahhera9513,"Saya pernah nonton sound horeg dan kalo di rekaman smartphone itu sampe mbliyut"" sampe ga kedengaran, tapi pas di depan langsung di kuping ga kerasa tapi di dada kaya di timpuk batu, itu kalo saya ga tau kalo orang lain"
@fyp1201,"Yaudah sih, gak suka jangan ditonton. Ribet amat. Yang Komen ini ono, protes gak suka ya mereka2 yg gak terlibat. Mayoritas masyarakat yang terlibat dan hadir gak keberatan, bahkan seneng. Setahun sekali mereka ngumpulin duit, sewa speaker, cewe cowo, emak2 bapak2 semua turun keliling desa.

Makin horeg, makin sakit di dada, makin pecah kaca dan plafon makin puas si penyewa dan penonton. Kerusakan pun ditanggung bersama, ya gimana, yang sewa juga mereka sendiri ya happy aja. Bahkan duit parkir dipake bangun mesjid dan musholah, bahkan ngadain check sound buat santunan anak yatim dan dhuafa. Banyak pedagang yang jualan, kopi, makanan, mainan anak, bahkan mua juga banjir job.

Sebenernya bagus2 aja kalo dilihat dari pergerakan ekonomi, cuma mungkin pelan2 bisa diperbaiki yang kurang2. Regulasi yang lebih baik, kesadaran masyarakat untuk saling menjaga dan menghargai. Toh cuman setakun sekali jalanan bisa serame gini."
@ilhamhafis1285,"HIBURAN KAMI KAUM MARJINAL, love you sound horeg"
@antonsusanto3177,Sound horeg yg royal dan titalitas dan kaya hanyalah BP bintang perkasa audio
@arift3333,"Mau bilang gimana juga klo di mata manusia yg ga suka bakalan salah mulu 

Pdhl kerugian yg terjadi saat karnaval sudah di prediksi & pasti di ganti oleh panitia & penyewa sound.

Kalau dasar nya tukang nyinyir ya ga bakal peduli smua sisi baiknya."
@deadwood21plus,"Hobby2 ekstrim gini sebenarnya gak masalah kalo tau tempat. Konser metal di stadion, gestrek ya di hutan, drag ya di lintasan. Jangan sampai mengganggu dan membahayakan orang lain."
@antoklistanto7416,Saya yang pernah mendengarkan sound horeg sama knalpot brong malah berisik knalpot brong . Siapa yang setuju...
@Navydaa_,"aneh ya knalpot brong dilarang, tapi ginian malah bebas bgt"
@asar1065,"Yang buat masuk kampung2 sampe harus bongkar atap warga, hancurin jembatan dsb lu sebut keren? Dzalim namanya bro. Gitu kok bangga

Ga ada warga protes? Yg ga terima bakal dijelasin baik2? Bohong. Ada ibu2 protes aja mau diamuk massa itu di Pati"
@dreameisters,Rusakin rumah orang malah bangga 
@ddtriadi4688,"Menurutku ini layak untuk dijadikan festival rutin di IKN, dan yakin gak ada bangunan yang rusak karena baru dan materialnya bagus. Serta bagi yang kurang suka juga bisa berlindung di dalam gedung2, karena rata2 gedungnya menggunakan AC jadi lumayan kedap udara. Semoga aspirasi ini di dengar oleh pemerintah yang baru, mengingat sound horeg ini  diundang ke jakarta juga dalam rangka pesta rakyat menyambut pemerintahan baru."
@Diat1986,Mantap mas Kholid Bolone Mase jossss
@mayadian3998,jos operatore bp di jelasno sak jelas jelase
@althafrifqieabrizam8291,"Denger sndri kn SDM tinggi...,,,salam horeg"
@u_jerk,semoga ga pernah nyampe ke kota gw
@jemberpunyaselera363,Saya suka mentalmu mas Kholid ms.. menit 15 saya terharu.. sukses selalu semua rental sound
@palaxs3772,"SEBAGAI WARGA MALANG DAN AREMA,,SOUND HOREG BIKIN BERISIK DAN MERUSAK TELINGA...PESERTA SERING MELANGGAR ATURAN YG DISEPAKATII...SOUD HOREG???? NO ...KESENIAN????? YAKIN???"
@ariksetya4222,Yang gak suka ya udah ..yang penting aku suka 
@rizkyari2021,"Selain speaker, badan juga ikutan geter"
@BrewogAudioGank,"Kalau kalian tidak tinggal di jatim area Horeg jangan asal menghujatttt dan bacoottt , cuman tau lewat youtube tapi menghina dan full hujat!  Woyyyy    jgan sok tau fergusooooo  Horeg josss ora sepeeleee"
@HaniRewel-l4m,Cok ini sumpah fakta di lapangan. Jooss    terimakasih sudah menjelaskan yg sesungguhnya. Untuk pihak medianya luar biasa. Langsung cari sumber yg sesungguhnya. Bukan asal comot kek sebelah
@wahyunoedevoichi4485,"saya dari jawa tengah. yang kek gini biasanya dari jatim .menurutku itu mengganggu kenyamanan orang lain... paan sih truk oleng,horeg .. ada* aja . GAH SADAR tindakannya ,truk oleng dan horeg membuat orang lain bisa dirugikan .."
@Rezxxcount,Lebih pengen ke clubbing tapi jarang/malu mungkin disana jadi dibuat outdoor gitu kali ya
@RizkiRaya-nt3sj,Ditunggu videonya terbaru rumah roboh rata
@KHOWIYORLANDA-pi7zx,"Emang orang malang Selatan losht,,,,,, hidup malang selatan"
@notkimiraikkonen787,Warga mana yang menikmati? Gak semuanya. Merusak rumah orang bangga? Logika anda memang sudah nol.
@YusufHasim-m3z,"Di blitar memasuki bulan agustus siap2 ada horeg dimana2, didesaku sering setahun sekali parade sound udah kayak wajib ada."
@RamaDhan-h4j,"DATANG KE PESONA GONDANGLEGI   MUMPUNG LAGI RAME NI SOUND HOREG.  TANGGAL 25/26 OKTOBER.  
BIAR TAU KREATIVITAS PECINTA KARNAVAL /SOUND HOREG  KOTA MALANG

YUK BISA YUK
 SEMOGA DI LIPUT.. "
@SONDOT1,"BANGGA JADI ORANG JATIM FANS BERAT BREWOG AUDIO HADIR,"
@AlgoNudger,konoha emas 2045. 
@snsvhitam6594,"Bahkan dengan sound horeg ini berhasil meningkatkan peran masyarakat dalam kesenian daerah. Di Malang ini gilak, keseniannya benar-benar lestari dan disukai masyarakat jaman sekarang karena ada musik horegnya"
@ulumputra7193,"Terimakasih atas penjelasannya mas Kholid sudah mewakili para pecinta ato pecandu sound horeg Jawa Timur juga para owner sound"" horeg Jawa Timur"
@benstobber-bb1pt,@kabupatenmalang emang masyakatnya terbelakang. Dan keterbelakangan ini di bangga2kan
@abdulghoni4154,Dan warga sdm tinggi pun menikmatinya 
@jerangkah8578,SDM Rendah bersatulah
@Rama-qt5py,"""..masa mereka engga setuju tapi mau iuran, kan ga mungkin.."" 
Tapi faktanya, banyak RT/RW yang ikut karnaval mewajibkan warganya buat iuran. Kalaupun warganya ga ikut tampil, juga kena denda."
@milanosaurus4282,"Yg jadi pertanyaan itu kan mereka ngundang sound per RT dan iuran per KK yg mungkin ratusan ribu-jutaan, semisal ada yg ngga mau ikut iuran apakah ada dampak sosialnya disitu? Misalnya diintimadasi/pemaksaan untuk iuran?"
@ifanchannel4453,"Justru yg dikatakan SDM rendah itu bisa membuat lapangan pekerjaan membawa rezeki.

Yg merasa sdm tinggi malah korupsi, ga bisa buka lapangan pekerjaan 
Kaya kamar j3ri . Orang introvert komen lingkungan"
@Eldhitafatima,"pliss jangan dinormalisasi kelakuan org goblok gini yaa, yang namanya kerusakan apalagi sampe ngerusak fasilitas umum tetep aja salah.
hiburan rakyat miskin gini amat"
@ekosetyawan4115,dari 1000 orang yg gak suka 100orang. yang suka 900 orang
@TiandiyoSimanjuntak,"Standard K3nya minim banget. Minimal operator or penonton radius dekat mesti pakai earplug. Gangguan pendengaran itu ga instant,tapi jangka panjang.  Masalah selera hiburan mau orang kota or daerah masing2 punya preference,saling menghargai saja dan tidak mengganggu satu sama lain."
@frye-l,"Ciri2 sdm rendah itu gk sadar kelakuan dia merugikan orang lain. Dipikirannya yg penting gk ngomongin orang lain, gk ngejelekan, sopan. Tapi dia gk sadar kelakuan dia merugikan orang lain."
@mayaanugrahwati6060,Aku bersyukur tinggal di jogja 
@antonsusanto3177,Kalau yg ngomong SDM rendah ayo sini ke jawa timur. Hampir di setiap rumah punya sound2 masing.
@achmaddulfaridhaqiqi8649,"hobinya mahal bosss 
kerennnn!!!!!!!!!!"
@nindiaaldama143,"Dapet perspektif baru sih, yg penting apa yg didalam tim horeg ini bisa terus pegang tanggungjawabnya ya! Jangan lupa sholat!"
@SugiantoAto-p3c,memang betul mas! saya asli ponorogo soal sound horeg malang tempatnya dan saweranya gila banget.
@andrianbama1288,Gk heran kita sebagai bangsa gk maju. Kesenangan yg menganggu ketertiban umun kek gini ada yg minat
@kem0654,Rill merugikan
@hanifQQ,No wonder.
@brambangbangbangbam4348,"Sampe ada sound horeg di depok, gua doain semoga ujan lebat biat konslet semua tuh listrik"
@mikasa_mikasa16,Media jos langsung neng sumber e  mben ga mluntang mluntung jos min 
@casstu21,dan mereka bilang kaca pecah genteng rontok itu normal??!!
@fadliperdana1971,HIBURAN JAMETTTT
@andre-wj4ov,buat apa sih gini2an
@madelesley7456,"Rumah hancur kok senang,biasanya yg ngajak iuran yg punya kuasa di desa itu,makanya mreka ikut iyuran nyewa. Yg gak setuju bakal kalah dengan bnyak di hujat di desanya"
@RatnoYatmi,"Enakan sound di tempat nikahan tetangga .enak di denger lagu"" nya gak cuma dibesari ground nya aje"
@hajicholik3545,"Mantap Maszze Kholid, Bululawang josss gandosss"
@jv.archangelus854,"Gedeg bngt denger nya ""KESENIAN"" apanya yang seni "
@edm4552,"perspektif nya bukan dari pemain pelaku usaha
Bikin survey aja kalo dari pelaku usahanya ya selalu membenarkan "
@iroelist108,Penonton selalu mbludak katanya sdm rendah tapi di lapangan sangat di sukai  jutaan orang bravo sound Horeg 
@LukinaIlhana,"Los mas aku seng nanggung,rampung acara yo bubar dewe2 "
@ronydc2188,"Biarlah di urusin daerah masing"" yang biasa ngadain tiap tahun ,kenapa yang bahkan daerahnya gak ada merasa paling tersakiti"
@adrianwiratama1918,wah. ini harus ada liputan ke daerah sound horeg si.  tanyain ke warga yang pernah di lewati sound horeg. apa benar  soal ganti rugi di bayarkan.  dan. ga menganggu kenyamanan warga sekitar.
@ekosistem.80,Saya yakin dan percaya kalau penikmat musik sejati pasti akan tidak setuju dengan sound macam begini 
@D.Planther,"Coba min wawancara dg penduduk yg rumahnya rusak, dan dari berbagai umur dan lapisan masyarakat. Biar objektif"
@niaarmiani17,Ganti coba jadi sound ayat suci kitab. Siapa tau setan² di tubuh keluar.
@ridzkyade5057,"Sdm sdm tinggi, cocok kerja di Exxon Mobil, Cnooc, BP Migas..."
@mantojumanto2693,"Hobi yang gak merugikan orang kan banyak wooiii....
Kalo emang kalian hobi begitu,silahkan di dalam ruangan jangan di bawa keluar dengerin sekencengnya sampe kuping kalian budeg bebas"
@ekosusanto7467,"Tgl 31 Januari tgl 2,3,ngonten mas ke malang Ngantang,ada kurang lebih 75 Sound Jatim perform di ultah ponpes Bahrul ulum Ngantang kabupaten Malang,dg adanya acara karnaval sound horeg,UMKM jalan, pedagang kecil laku semua,pemasukan parkir,dll"
@batarahotdo401,Konten -konten begini jadi keinget kontennya vice indonesia. Sering-sering minn
@EnkiNusantara,"Tumben Ada media yg mau bertanya langsung ke sumbernya, biasanya cuma nyomot2 video doang. Keren @volix_media"
@adjibagus8730,"Lebih baik membuat aturan yang tegas dan mengikat... misal jika dilapangan luas dan jauh dari pemukiman..
Kalau karnaval harus dibatasi seberapa keras dan seberapa banyak.
Karna sangat mengganggu"
@istin.m6686,Budaya yang makin TERBELAKANG
@fikiaswandi,Jgn sampe budaya ini keluar dari Jatim....
@pitek8941,"Di konten sebelah bnyak yang bilang lihat video smpe full 

 Di sini anda lihat video juga jngan stngah""

 Di kamar jeri anda melihat dari 
-katanya 
-info beredar
-Menurut saya
-asumsi
-media yang viral

 Di sini anda juga harus melihat sisi positifnya bahwa yang di asumsikan rumah roboh kca pecah mobil rusak itu cuma sebuah video shot bahkan itu di ganti rugi 
  BEDANYA SAAT MENGGANTI RUGI ITU SEMUA SETELAH ACARA SELESAI, DAN YANG MENGGANTI ADALAH PANITIA DAN SAAT PENGGANTIAN RUGI TIDAK DI LIPUT MEDIA.

Di youtub sebelah cuma asumsi
 Di sini kita dari narasumber langsung

 Makanya jika tidak ingin di komentari pedas bikin video jngan stngah"" jika ada positif maka buat juga yang negatif biar info yang kita dapat berimbang dan bisa kita nalar"
@delonpramudya2219,"Sound sound horeg seperti ini kalau diliat dari tahun itu sudah ada lama.
Waktu masih TK/SD juga sebenarnya sudah ada. Kebetulan rumah yg saya tinggal berada di jalan raya besar atau utama yg biasa dilewati kendaraan dan juga ada lewat sound2 seperti ini. Tapi waktu dulu saya masih sekolah TK atau SD sound itu masih digunakan sebatas acara2 saja seperti Karnaval Umum atau kayak pernikahan gitu. Bukan acara musik² yang seperti ini. Ini tuh baru viral sekitaran tahun 2023 kurang lebih mungkin. Dan anak2 sekarang juga ya memang suka sama sound2 horeg. Tapi dulu hal yang gini ga pernah ada kecuali pas acara2 tertentu aja. 
Buat saya sendiri aja sebenarnya tidak menyukai yg gini2 kalau cuman buat hiburan2 doang mah paling yang disetel lagu2 DJ yang ngebass sampe dada geter anjir.

Kalau dibilang mengganggu sih gak ya kalau memang ada maksud kayak acara karnaval ya wajar. Tapi sering banget depan sound horeg itu lewat2 doang. Pernah jam 2 an waktu puasa udah sepi pake ada gituan, tailah. Yang bikin tambah miris ginian itu kalo udah ada acara karnaval, yang muncul pasti joget2an doang yang mayoritas pesertanya cewe semua makanya laris."
@GtaSa-r3t,Berati kalo ada yang mati kena serangan jatung warga atau yang nyewa sound horeg tambah senang dong
@imamalmahruf6212,"Mas mas, jaman sekarang yg katanya iuran pun juga banyak yg maksa kok, bayangin ya mas ya, ada orang rame2 dateng ke rumah, terus minta uang yg katanya iuran, mw gak  dikasih tapi udah budaya sesat, di kasi tapi ngelus dada"
@gieokgia2094,"nek diLakukan sama sehobi di Lautan pasir, atau di tengah samudera hindia, atau di Lembah beLantara.. aku sih monggo
ga ngehaLangi orang yg punya hobi..

dipikir sendiri deh dg kepaLa dingin, dirasain pakai nurani, jangan pakai nafsu membenarkan tindakanmu.. itu ngeganggu orang Lain yg ga sehobi dg kaLian ga?"
@aubaitwaliuddin5339,Kalo memang sesui dengan yang di jelaskan narasumber ya nggak ada masalah sih  orang masyarakat sendiri yang ngundang  dan sebelum di adakan ivent semacam karnaval juga  sudah di  musyawarakan dengan matang  terkait dengan perizinan dan lain sebagainya. Di vidio juga di jelaskan jika ada properti yang rusak akibat  suara sound juga di ganti / perbaiki oleh panitia . Jadi gak perlu di permasalahkan si  menurut saya
@maharania.s.s.p2789,"biasa? biasa gundulmu, aku orang malang tapi ga setuju. malang rasanya sumpek bgt sekarang astagaa"
@faiqskin6901,Wow jd kebangaan bg masyarakat
@indahastriwahdani3407,"ternyata menormalisasi hal2 yg ga baik itu uda tradisi ya, sepanjang nonton ini dahiku mengkerut terus berusaha cerna mana sisi positif yg beliau katakan"
@AlfinArdiansyah-bm5nv,Malang ws horeq sejak tahun 2015  Saiki a opo titik viral Bien Ra onok
@nurarahmi2354,Serius klw rumh warga smpe rubuh tuh kek apaa? Gmna? Ga gnti rugi?
@rajaterakhir234,"Yg satuan desibel kalian uforia dan sampai sawer..
Bgemana jika nanti dikasi yg Skala richter??mau..???????"
@terrajaya3161,"nunggu komen dari orang yg kena dampak rusak dari sond horeg, biar berimbang"
@Gludukhoreg,"Jgn lewatkan Pesona gondang legi sabtu tgl 26 okt 2024.. biar lebih tahu kreativitas orang malang
Salam kreativitas dan salam horeg. "
@anggisnugraha2476,"Kok bisa orang sosmed aja yang nolak, survei macam apa tuh? Sebenarnya juga banyak yang ga suka. Kalo dari penyedia soundnya sih ya jelas pro akan horegnya, ya dari sanalah pendapatannya."
@fitriawulanvisa,Ini kok bisa dikawal untuk ngerusak dan mengganggu masyarakat? Pak polisi katanya mengayomi masyarakat tapi kok ikut meresahkan mengawal yang begini??? Kasian warga.
@Fatihjie,"Semua yang rusak digant sm penyewa horeg loss kan sj, biar tekor asal kesohor, penyawa sprtnya juragan2 yg mempunyai pengaruh baik itu ditingkat desa/kecamatan."
@safiraislamiati8200,Tolong nanti tanggal 25 maret pasukan sound horeg standby 24 jam didepan hotel bahrain 
@Helmi.Yuda.Pratama,"Pekerjaan paling enak sound horegh wes
Tapi modal nya yang nggak enak 
Dan di suatu konten ada orang jakarta sendiri yang nyebut kalo sound horegh ini nggak nyakitin telinga....tau karena apa? Karena ini barang mahal broo
Gitu masih banyak yang nyinyir hobi miskin. Bro yang masih pke jbl kW buat dengerin musik mending masuk goa aja deh"
@elnino3146,"Sound horeg mungkin cocok kali dengan warga sana,ya udah biarin aja.. klo ditempat gue mah langsung dibubarin "
@clm7845,"Biar Tukang Gak Sembarangan Bangun Rumah? 
Uji ketahanan anti Gempa loh! 
Wajib di pertahankan ini "
@AWJ.Official,Semakin banyak yg menghujat maka akan semakin terkenal dan semakin di minati wkwk
@WONDERLANDMUSIC,"Bangga sampe jakarta, tapi kan ente sukarela lek. Hadeh"
@julianto3982,"Di sisi lain mungkin merugikan buat kalian, tapi di sisi positif mereka bisa njir bikin sound, dengan audio yg cukup baik menurut gw, dan pas gw nonton konser band local sound hasil buatan jatim."
@aldiorandika2359,Coba bang di spill yang udh di perbaiki jembatan yang rusak sama rumah yang rusak
@dwiputra3885,"Bener, sesuai dugaan. Ini emang masyarakatnya yang mau"
@hutamim.p8467,Kalau mau lebih berguna saran gw demo di gedung DPR pake sound horeg.
@MuhammadMarjun-s5c,"I love Sound horeg, indonesia sound tidak ada hubnya dengan india.. karna sound indonesia rapi dan mahal mahal  ad yg 1 triliun"
@dedipratama7692,Jangan asal komen kalau belum datang langsung ke malang liat acara karnaval sound horeg
@Hari-tv,"Ini harus ada izin acara dan izin tempatnya sih. 

Ga bisa asal undang diperumahan atau perkampungan. 

terus volume melebihi batas aman. 
Jangan lupa, ada orang yg punya penyakit macam jantung ataupun ada bayi yg tidak boleh ada suara kencang.

Disarankan dilokasi khusus misal lapangan atau tempat terbuka luas maupun gedung."
@gieokgia2094,"nek diLakukan sama yg sehobi di Lautan pasir, atau di tengah samudera hindia, atau di Lembah beLantara.. aku sih monggo
ga ngehaLangi orang yg punya hobi..

dipikir sendiri deh dg kepaLa dingin, dirasain pakai nurani, jangan pakai nafsu membenarkan tindakanmu.. itu ngeganggu orang Lain yg ga sehobi dg kaLian ga?"
@RinaNoviana-o1n,Pie to ki. Kok malah bangga kwkwk
@DidikDidik-k1i,Biar sdm rendah tpi ini sound horeg modal nya miliatan bolo malang looss loyalitas tanpa batas
@tofaargues997,Tahun 2010 malang sudah horeg dan baru sekarang kalian membuli kalian kurang update 
@IqbalmediaMedia,"Kalau ada bayi dan orang tua rentan, Bentuk tanggungjawabnya gimana?"
@randiandriawan,dari penjelasan mas nya cukup jelas dan mudah dimengerti sehingga saya jadi merasa bersyukur tidak hidup di jawa timur
@gitakaratedo5467,Malu2 in bangettttt astagaaa otaknya uda ikutan horeg jadi putus kan syaraf nya 
@faisalrais-vh9rx,Sound horeg memang jooosss...!!
@zuzu1844,Kita juga ga bisa nge judge juga SDM Rendah Orang SDM nya tinggi aja kelakuannya kaya SDM rendah. Kita lihat aja dari hal yang kecil.
@CahRantau346,"Udahlah bolo Horeg tetap pertahankan, abaikan yg menjudge kita ,yg penting makan dan hidup tidak numpang sama mereka, So..enjoy nikmati hobi kita masing2.Dan ingat warga Jatim jgn Sampek tertular Ngemis Berjama'ah di tiktok seperti daerah sebelah. Yg suka bilang ""BERAS ABIS NIHHH JOGET AJA, WADIDAW,AWE AWE ,HOBA,,
Miris banget ...."
@sodiqhariyanto8705,Ini Jawa Timur Bro  Sound Horeq Hiburannya Sultan Jawa Timur
@tryhadirukmana5317,"gokil mixer sound nya aja merk MIDAS, proper juga sound horeg, Mantap"
@xdamara,Respect full video bukan asal comot potongan video kayak berita tv sebelah 
@WarsihEvoy,"Itu anggap aja cuma ada di jatim, di sana di anggap kesenian, yang di senangi dan di nikmati orang2 di sana, mungkin anda berpikir itu bodoh, tapi ada fositivnya umkm oke bisa santunin anak yatim, jadi knpa kalian harus ribut2, dan ingat ternyata di jakarta menghibur orang pada suka sorak2 ah jangan2 yang komen jelek yang gak kebagian nonton makanya jangan kupper de om pak bu"
@EstelaLoui,"the real yajud majud, memberi kerusakan"
@rizalsdrx,yang di tunggu² podcast  sprti ini
@hiburan7476,"manttaapp..hobby tidak bisa di ukur dengan nominal materi..,itulah gaess tidak sedikit dana yang dikeluarkan para pecinta sound horeg,betul kata mas brew:( "" inilah hiburan desa,tapi tidak sepele.."")
kalau dipemerintahan dana 3,9 milyar itu sudah bisa membangun =3 desa
.."
@dhiosticker56,Jawa Timur loss gak rewelllhidup tanpa musik itu kurang asik bolooooo
@itsnotfine_,"Masyarakat semakin ada kerusakan, semakin senang??? 

Geblek apa yak, agak laen "
@mazzawang,"Dulu ada Breakdance, sekarang ada Sound Horeg."
@rofikalfakir8209,"salut buat mas solid, joss walaupun anak big bos bintang perkasa tapi masih rendah hati"
@uknownuser6439,Sumpah baru nemu narasumber seghoublogs ini anj
@nugrohons3880,"untung ditempat saya ga ada.. klo ada, sya jelas minta ganti klo bikin rusak rumah saya.."
@bozzisme,"klaim bahwa orang gpp dengan sound horeg yg menimbulkan kerusakan itu dari mana?
wong kenyataanya banyak yg ngamuk jg, dan bisa dipastikan ga semua punya selera sama"
@avinrohmansyah8339,TRIMAKASIH VOLIX MEDIA FROM WARGA MALANG.....
@denigmb756,"malang sudah lupa akan sepakbola nya dan kini fokus ke sound horeg dan karnaval daripada ada sepakbola tapi selalu tawuran mending horegkan damai dan kondusif 
Bahkan malang bagian selatan itu pusat nya sound horeg dan karnaval."
@rafaelfaiz04,Susah juga ya perjalanan kita menuju Indonesia emas 2045
@rerencute1,"Nunggu perintah pak prabowo, ntar di panggil kepala daerah nya untuk melarang sound yg merugikan dengan suara diatas normal baru tau rasa.. nunggu ada yg komplain ke presiden.."
@kanebokeringu,Ditunggu episode Verspektif dari warga lokalnya ya min.
@sebutsajaaku1195,"Soory bandung menolak masuknya sound"" gj kaya gini"
@muhammadmhaenza4199,Next podcast mas brewog audio 
@zainularifin6410,Adakah penanggung jawab bagi rumah yg rusak ?????
@jv.archangelus854,75/100jt cuma dengerin audio bejir  beli musicbox aja tempel di telinga bejir 
@suryantoyt6094,"Kalau terjadi ditmpatku.. dan sampai rontokan rumahku
Entah siapa yg mati..."
@rizalichsanbandon9156,"Saya tau saund horeg 2007 di daerah pantai balaikambang malang
Pertama lihat heran juga kok soud di naikkan di truk dan di putar bersamaan"
@hambamuharram,"Saya ulangi lagi yaaa ""KERUSAKAN APA PUN ITU DITANGGUNG PANITIA DAN PENYEWA DARI PERSETUJUAN DAN KESEPAKATAN SEBELUM ACARA DI ADAKAN ""

salam dari MALANG "
@glineproductionchannel7183,minimal SDM tinggi itu tidak me ngejust orang lain lebih rendah dari dirinya . Yg saya tau orang yg memiliki SDM tinggi itu bisa memandang dari segi keuntungan dan kerugian di lapangan langsung  bukan di sosmed . Acara tersebut yg saya tau perputaran uang nya ngeri bolo hingga menyentuh miliar
@andriink6425,Keren .. horeg jawa timur saya 3 x liat festival horeg di Blitar n malang .. nginap 1 minggu di Tulungagung
@umegasanjaya4460," pro kontra

yang nyewa masyarakat
kalo ada kerusakan ya diganti penyewa
kalo masyarakatnya gak suka, yaudah gak usah disewa
salam santuy kawan "
@temanbaikmu9113,Mereka kurang paham kalau perputaran ekonomi setiap event yg d anggp sdm rendah ini bsa mnghasilkan miliaran
@baiyou1919,Sultan Malang Gabut 4M cuma buat 1 Careta di kali 3 Careta Demi Hobi 
@lindhuirlanda793, aneh saja kalau cuma mau rusak rumah sendiri harus sewa sound 100 juta dan bangga. dan mesti benerin sendiri.
@FarizzyYT,chanel  yg perlu di apresiasi..... salam horeg..... josss volix media.
@bentsoldier9153,Kalo di Sumatera udah di bakar massa tuh sound horeg
@kemalalimin8956,Jangan sampe merambah ke jawa barat pliissssss
@almubarok9610,"ada pro dan kontra, tapi untuk malang selatan loss"
@sigitjoko4864,Tapi ini yang di interview palah ngrusak bener bener ngrusak pecinta soud horeg
@skm5390,"Yang cuma tahu kerusakan hanya sekilas saja ya begitulah bisanya cuma komen buruk saja tidak tahu fakta aslinya di klokasi seperti apa .....kalau seumpama masyarakat merasa terganggu dengan adanya sound horeng ini ...ngak mungkin mereka menyewa sound"" horeg dengan harga sewa semahal itu .....dan sebelum adanya kegiatan karnaval sound horeg ini .....meraka para warga dan desa setempat minta ijin dulu ke pihak berwajib  tidak cuma asal pawai saja dan ijin mengadakan kegiatan ini biaya ijin ke pihak berwajib itu juga tidaklah murah"
@dyon81,"Yg mengatakan penikmat sound horeg ini SDM rendah, apa tdk melihat org kota yg masuk ke diskotik, sama² musiknya bikin pekak telinga. Apa iya mereka SDM rendah juga ?"
@aldipurnomo9151,"Rentang desibel yang dapat didengar manusia berkisar antara 0 desibel (dB) hingga 120-130 dB. Namun, paparan suara yang melebihi 85 dB dapat merusak pendengaran.
 Suara tingkat kebisingan yang dihasilkan dari sound horeg disebut bisa mencapai lebih dari 135 desibel."
@SisToro-ze6qg,Sya PRIBADI TIDKA SETUJU DENGAN HIBURAN SPERTI INI...!!
@minimalism2688,Yg menghujat rata-rata korban potongan video terus dinarasikan negatif kemudian munculah orang-orang fomo ikutan ngehujat tanpa tau yg sebenarnya. SDM tinggi katanya . SDM tinggi kok gak cover both side? Gak kroscek? Wkwkwk SDM fomo kali ah.
@D.Planther,"Jangan sampe yg nyawer ini ada masalah dg rumah2 yg dilewati, bisa jd sarana pelampiasan.., mungkin ada jg yg bgtu"
@memelucu62-v9h,untung saya gak tinggal dimalang jadi aman
@khusnunn5497,Monggo sabtu besok merapat ke malang ada acara pesona gondang legi
@Woodburn355,"Well..
Setiap bangsa dan ras di dunia ini, memiliki ke gila'an nya masing-masing "
@SutikManggis,Masok itu mas....jangan kalah dEngan negara lain ?Seperti..TAILAND..INDIA ..kalau saya si bangga banget s3bagai seorang suka s3ni GITU AJA JANGAN REPOT MEMPERBINCANGKAN
@TukangRoasting89,Gpp dibilang SDM rendah. Minimal SDM rendah nggak korupsi toh. Maju trus sound horeg. Losss
@WaterMelon-s3l,Yang sewa masyarakat kok katanya meresahkan masyarakat lucu netizen+62
